iter	Accuracy	MultiClass
364	1	0.2008167901
365	1	0.1999542441
366	1	0.1993319709
367	1	0.1983926427
368	1	0.1975098521
369	1	0.1967348261
370	1	0.1958887942
371	1	0.1951536089
372	1	0.1944571043
373	1	0.1935070076
374	1	0.1927585973
375	1	0.1921145318
376	1	0.1914342702
377	1	0.1910468005
378	1	0.1902698735
379	1	0.1899229949
380	1	0.1892503063
381	1	0.1885053989
382	1	0.187676674
383	1	0.1870777352
384	1	0.186530068
385	1	0.1858772619
386	1	0.1853069643
387	1	0.1845635027
388	1	0.1839906293
389	1	0.1831504813
390	1	0.1826152796
391	1	0.1819462489
392	1	0.1814557887
393	1	0.1805453947
394	1	0.1799003318
395	1	0.1793417024
396	1	0.1788257749
397	1	0.1780697458
398	1	0.1773562913
399	1	0.1769407172
400	1	0.1764171706
401	1	0.1758087706
402	1	0.1752756357
403	1	0.1747425977
404	1	0.1743062833
405	1	0.1736189034
406	1	0.1733109872
407	1	0.1731618498
408	1	0.1726193264
409	1	0.1720874629
410	1	0.1715407759
411	1	0.1707780471
412	1	0.1701820269
413	1	0.1696207599
414	1	0.1690485719
415	1	0.168570722
416	1	0.1681318214
417	1	0.1672427846
418	1	0.1667338715
419	1	0.1663201354
420	1	0.1661055832
421	1	0.1657877762
422	1	0.1653259871
423	1	0.1651220661
424	1	0.1645773637
425	1	0.1638943695
426	1	0.1632904915
427	1	0.1627008406
428	1	0.1621588667
429	1	0.1616766468
430	1	0.1610743207
431	1	0.1605016856
432	1	0.1599617859
433	1	0.1596534033
434	1	0.1590199563
435	1	0.1584616019
436	1	0.1580861466
437	1	0.1575572953
438	1	0.1569626281
439	1	0.1563293347
440	1	0.1558667782
441	1	0.1553669467
442	1	0.1548099307
443	1	0.1542339002
444	1	0.1537743168
445	1	0.1532901063
446	1	0.1525721843
447	1	0.1519999513
448	1	0.1515438006
449	1	0.1509955836
450	1	0.1504292979
451	1	0.1500218363
452	1	0.1495820924
453	1	0.1492121474
454	1	0.1488640066
455	1	0.1483403914
456	1	0.1478648501
457	1	0.1474826708
458	1	0.147020018
459	1	0.1466116348
460	1	0.1460735312
461	1	0.1456454151
462	1	0.1451466043
463	1	0.1447777151
464	1	0.1443965783
465	1	0.1438335259
466	1	0.1433411701
467	1	0.1428462033
468	1	0.1423905386
469	1	0.1419831212
470	1	0.1416312877
471	1	0.1413298057
472	1	0.1408813629
473	1	0.1404090669
474	1	0.1399241927
475	1	0.1394185284
476	1	0.1391291776
477	1	0.1386717991
478	1	0.1383690593
479	1	0.1378591162
480	1	0.1375008217
481	1	0.1371152962
482	1	0.1366175565
483	1	0.136085456
484	1	0.1357734422
485	1	0.1354702856
486	1	0.1349854265
487	1	0.1345202323
488	1	0.1342281275
489	1	0.1338008275
490	1	0.1334392481
491	1	0.1332202187
492	1	0.1327372827
493	1	0.1323164184
494	1	0.1319611108
495	1	0.1315161364
496	1	0.1311950599
497	1	0.130761651
498	1	0.1305516161
499	1	0.1301125526
500	1	0.1297889126
501	1	0.1294697281
502	1	0.1290735053
503	1	0.1286695867
504	1	0.1283346203
505	1	0.1279655774
506	1	0.1275561622
507	1	0.127263835
508	1	0.1268961335
509	1	0.1265616076
510	1	0.1263356302
511	1	0.1258590302
512	1	0.125545196
513	1	0.1253981361
514	1	0.1250326753
515	1	0.1247349842
516	1	0.1242960102
517	1	0.1239267065
518	1	0.1235825744
519	1	0.123156035
520	1	0.1228124996
521	1	0.1223714047
522	1	0.1221032682
523	1	0.1218270989
524	1	0.1214173104
525	1	0.1211292299
526	1	0.1208106795
527	1	0.1205111999
528	1	0.1202590061
529	1	0.1198880184
530	1	0.1197591015
531	1	0.1194898485
532	1	0.1191959301
533	1	0.1189053501
534	1	0.1185634452
535	1	0.1183147576
536	1	0.1180108597
537	1	0.1176720615
538	1	0.1175193016
539	1	0.1171216005
540	1	0.116892644
541	1	0.1165439722
542	1	0.1163013577
543	1	0.1160472429
544	1	0.1157300812
545	1	0.1154368169
546	1	0.11515756
547	1	0.1147978531
548	1	0.1145040055
549	1	0.1143216446
550	1	0.1140489553
551	1	0.1137868413
552	1	0.1134809783
553	1	0.1132271213
554	1	0.1128844725
555	1	0.1124919249
556	1	0.1122337882
557	1	0.1120338219
558	1	0.1117009327
559	1	0.111439878
560	1	0.1110967181
561	1	0.1108010019
562	1	0.1104179827
563	1	0.1102187684
564	1	0.1098914857
565	1	0.1095904386
566	1	0.1093025552
567	1	0.1090278253
568	1	0.1087794244
569	1	0.1084255675
570	1	0.1081931451
571	1	0.1079547427
