iter	Passed	Remaining
776	5517	1583
777	5523	1576
778	5529	1568
779	5535	1561
780	5542	1554
781	5548	1546
782	5554	1539
783	5561	1532
784	5567	1524
785	5574	1517
786	5580	1510
787	5586	1502
788	5592	1495
789	5598	1488
790	5605	1481
791	5611	1473
792	5619	1466
793	5626	1459
794	5633	1452
795	5640	1445
796	5647	1438
797	5653	1430
798	5660	1423
799	5665	1416
800	5700	1416
801	5707	1409
802	5713	1401
803	5720	1394
804	5726	1387
805	5731	1379
806	5738	1372
807	5745	1365
808	5751	1357
809	5758	1350
810	5764	1343
811	5772	1336
812	5778	1329
813	5784	1321
814	5790	1314
815	5796	1307
816	5802	1299
817	5808	1292
818	5814	1285
819	5820	1277
820	5826	1270
821	5832	1262
822	5838	1255
823	5844	1248
824	5850	1241
825	5856	1233
826	5861	1226
827	5867	1218
828	5873	1211
829	5879	1204
830	5885	1197
831	5892	1189
832	5898	1182
833	5904	1175
834	5910	1167
835	5916	1160
836	5922	1153
837	5928	1146
838	5934	1138
839	5941	1131
840	5947	1124
841	5953	1117
842	5958	1109
843	5964	1102
844	5971	1095
845	5977	1088
846	5983	1080
847	5988	1073
848	5994	1066
849	6000	1058
850	6007	1051
851	6013	1044
852	6019	1037
853	6025	1030
854	6031	1022
855	6038	1015
856	6044	1008
857	6049	1001
858	6056	994
859	6062	986
860	6068	979
861	6074	972
862	6080	965
863	6086	958
864	6092	950
865	6098	943
866	6104	936
867	6110	929
868	6117	922
869	6122	914
870	6128	907
871	6134	900
872	6140	893
873	6146	886
874	6153	879
875	6158	871
876	6164	864
877	6170	857
878	6176	850
879	6183	843
880	6189	836
881	6195	828
882	6203	821
883	6210	814
884	6217	807
885	6225	800
886	6232	793
887	6238	786
888	6242	779
889	6247	772
890	6251	764
891	6256	757
892	6260	750
893	6265	742
894	6269	735
895	6274	728
896	6279	721
897	6283	713
898	6287	706
899	6292	699
900	6296	691
901	6301	684
902	6306	677
903	6310	670
904	6315	662
905	6320	655
906	6326	648
907	6333	641
908	6340	634
909	6347	627
910	6353	620
911	6360	613
912	6365	606
913	6370	599
914	6375	592
915	6379	585
916	6384	577
917	6388	570
918	6393	563
919	6397	556
920	6402	549
921	6407	542
922	6412	534
923	6416	527
924	6421	520
925	6426	513
926	6431	506
927	6435	499
928	6443	492
929	6448	485
930	6453	478
931	6462	471
932	6466	464
933	6470	457
934	6474	450
935	6477	442
936	6481	435
937	6484	428
938	6487	421
939	6490	414
940	6493	407
941	6496	399
942	6500	392
943	6503	385
944	6507	378
945	6510	371
946	6513	364
947	6516	357
948	6519	350
949	6523	343
950	6526	336
951	6529	329
952	6532	322
953	6535	315
954	6538	308
955	6541	301
956	6544	294
957	6547	287
958	6550	280
959	6553	273
960	6556	266
961	6559	259
962	6562	252
963	6565	245
964	6568	238
965	6572	231
966	6575	224
967	6577	217
968	6580	210
969	6583	203
970	6586	196
971	6590	189
972	6593	182
973	6596	176
974	6600	169
975	6603	162
976	6607	155
977	6610	148
978	6613	141
979	6616	135
980	6619	128
981	6622	121
982	6626	114
983	6629	107
984	6632	101
985	6636	94
986	6639	87
987	6642	80
988	6646	73
989	6649	67
990	6652	60
991	6655	53
992	6658	46
993	6662	40
994	6665	33
995	6669	26
996	6672	20
997	6675	13
998	6678	6
999	6682	0
